THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
4615678,AUSTRALIA,RAAF,1971-05-14,348490,SEADAB,B-57,PHAN RANG,14.506388,108.099444,,6,940.0,,,0,B57,B57,,,MP    91,17,5.0,CLOSE AIR SUPPORT,6150,1,,D,2RAF,,,SOUTH VIETNAM,,143023N1080558E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    91,ZB,26836889,KINETIC,-1,-1,,,,940.0,49200
4615776,AUSTRALIA,RAAF,1970-07-07,348588,SEADAB,B-57,PHAN RANG,11.625277,106.433055,FOX HOLES,0,1405.0,,,0,B57,B57,,,MP    81,16,5.0,CLOSE AIR SUPPORT,5304,1,,D,2RAF,,,SOUTH VIETNAM,,113731N1062559E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,XT,26836987,KINETIC,-1,-1,,,DESTROYED,1405.0,0
4615921,AUSTRALIA,RAAF,1970-09-02,348733,SEADAB,A-4,TAN SON NHUT,,,,376,800.0,PASSENGERS,,0,A4,A4,,,,164,46.0,COMBT TROOP CARRYING,7458,26,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26837132,NONKINETIC,-1,-1,,,,800.0,0
4615944,AUSTRALIA,RAAF,1971-03-19,348756,SEADAB,A-4,TAN SON NHUT,,,,0,800.0,,,0,A4,A4,,,,0,97.0,OTHER,7585,5,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26837155,NONKINETIC,-1,-1,,,,800.0,0
4616224,AUSTRALIA,RAAF,1971-09-11,349036,SEADAB,A-4,TAN SON NHUT,,,,265,800.0,PASSENGERS,,0,A4,A4,,,,50,46.0,COMBT TROOP CARRYING,0959,13,,D,RAF,,,SOUTH VIETNAM,,,,,UNIT: RAF - CALLSIGN:,,26837435,NONKINETIC,-1,-1,,,,800.0,0
4616252,AUSTRALIA,RAAF,1970-05-08,349064,SEADAB,B-57,PHAN RANG,9.579166,104.943611,,6,1205.0,,,0,B57,B57,,,MP    11,21,5.0,CLOSE AIR SUPPORT,5000,1,,D,2RAF,,,SOUTH VIETNAM,,093445N1045637E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    11,VR,26837463,KINETIC,-1,-1,,,,1205.0,49200
4616316,AUSTRALIA,RAAF,1971-02-10,349128,SEADAB,B-57,PHAN RANG,15.631388,108.21111100000002,,6,930.0,,,0,B57,B57,,,MP    31,19,5.0,CLOSE AIR SUPPORT,6009,1,,D,2RAF,,,SOUTH VIETNAM,,153753N1081240E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    31,ZB,26837527,KINETIC,-1,-1,,,,930.0,49200
4616756,AUSTRALIA,RAAF,1971-02-02,349568,SEADAB,B-57,PHAN RANG,15.719166,107.986111,,6,1545.0,,,0,B57,B57,,,MP    81,21,5.0,CLOSE AIR SUPPORT,6113,2,,D,2RAF,,,SOUTH VIETNAM,,154309N1075910E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,BU,26837967,KINETIC,-1,-1,,,,1545.0,49200
4616835,AUSTRALIA,RAAF,1970-07-20,361612,SEADAB,B-57,PHAN RANG,9.987222,106.337777,,0,848.0,,,0,B57,B57,,,MP    81,12,5.0,CLOSE AIR SUPPORT,5043,1,,D,2RAF,,,SOUTH VIETNAM,,095914N1062016E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,XS,26850011,KINETIC,-1,-1,,,,848.0,0
4617079,AUSTRALIA,RAAF,1970-08-15,361856,SEADAB,B-57,PHAN RANG,9.661388,105.236944,,0,1119.0,,,0,B57,B57,,,MP    21,15,5.0,CLOSE AIR SUPPORT,6301,1,,D,2RAF,,,SOUTH VIETNAM,,093941N1051413E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    21,WT,26850255,KINETIC,-1,-1,,,,1119.0,0
4617288,AUSTRALIA,RAAF,1970-05-03,362065,SEADAB,B-57,PHAN RANG,9.348611,105.013611,,0,945.0,,,0,B57,B57,,,MP    31,18,5.0,CLOSE AIR SUPPORT,5007,1,,D,2RAF,,,SOUTH VIETNAM,,092055N1050049E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    31,WT,26850464,KINETIC,-1,-1,,,,945.0,0
4617406,AUSTRALIA,RAAF,1970-08-25,362183,SEADAB,B-57,PHAN RANG,10.401111,105.899166,,0,1007.0,,,0,B57,B57,,,MP    41,13,5.0,CLOSE AIR SUPPORT,6307,1,,D,2RAF,,,SOUTH VIETNAM,,102404N1055357E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    41,XS,26850582,KINETIC,-1,-1,,,DAMAGED,1007.0,0
4617585,AUSTRALIA,RAAF,1970-08-03,362362,SEADAB,B-57,PHAN RANG,9.675833,105.8825,,0,805.0,,,0,B57,B57,,,MP    71,20,5.0,CLOSE AIR SUPPORT,6357,1,,D,2RAF,,,SOUTH VIETNAM,,094033N1055257E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    71,WT,26850761,KINETIC,-1,-1,,,DESTROYED,805.0,0
4618292,AUSTRALIA,RAAF,1971-01-09,363069,SEADAB,B-57,PHAN RANG,15.009444,108.459166,,0,1400.0,,,0,B57,B57,,,MP    81,24,5.0,CLOSE AIR SUPPORT,6127,1,,D,2RAF,,,SOUTH VIETNAM,,150034N1082733E,DDMMSSN DDDMMSSE,,UNIT: 2RAF - CALLSIGN: MP    81,ZB,26851468,KINETIC,-1,-1,,,,1400.0,0
