,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
1475533,1476641,UNITED STATES OF AMERICA,USAF,1968-09-18,2843094,CACTA6669,A-26,NAKHON PHANOM,17.094444,106.05,MOTOR VEHICLE,0,1950.0,,,0,A26A,A26,,,,24,01,STRIKE,JJ024,1,STEEL TIGER - LA,N,JAPOF0,SCATTERED,ABN FWD AIR CNTL,LAOS,,170540N1060300E,DDMMSSN DDDMMSSE,9999NL,MISSION: SL18&262 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: RTE AREA E (OUT-OF-COUNTRY MISSIONS),XE,25469034,KINETIC,0,18,,,,1951.0,-1
766952,768060,UNITED STATES OF AMERICA,USMC,1969-04-19,4645736,CACTA6669,F-4,CHU LAI,16.38418312,107.147863,TROOPS,10,1040.0,500LB GP MK-82,,500,F4B,F4,,,,11,6.0,DIRECT AIR SUPPORT,ME548,2,IN COUNTRY,N,M01115,,TPQ-10,SOUTH VIETNAM,,48QYD29701250,##ABC11112222,0207HL,MISSION: VS6261 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),VC,26264419,KINETIC,0,0,,,,1041.0,-1
2153260,2154322,UNITED STATES OF AMERICA,USMC,1968-06-10,1638788,CACTA6669,F-4,CHU LAI,16.61370302,106.7614459,AREA\DEPOT,0,905.0,LAU-3A/AERO7,,342,F4B,F4,,,,24,05,CLOSE AIR SUPPORT,ME518,2,IN COUNTRY,D,M01115,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,48QXD88203750,##ABC11112222,1009N,MISSION: VS0610319 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),VC,24657282,KINETIC,0,0,,,,915.0,-1
414701,415748,UNITED STATES OF AMERICA,USAF,1968-06-30,4807982,CACTA6669,F-100,TUY HOA,16.32321302,107.5888096,AREA\DEPOT,0,223.0,M-39,,50,F100D,F100,,,,38,5.0,CLOSE AIR SUPPORT,JD010,2,IN COUNTRY - SABRE 41,D,JAJIL0,,ABN FWD AIR CNTL,SOUTH VIETNAM,,48QYD76900630,##ABC11112222,1009N,MISSION: VS6166 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),VC,26314797,KINETIC,0,16,,,,225.0,-1
926334,927442,UNITED STATES OF AMERICA,USAF,1969-12-04,4016300,CACTA6669,A-1,NAKHON PHANOM,19.611,103.493,TROOPS,8,600.0,500BLU11/23/32,,500,A1H,A1,,,,58,5.0,CLOSE AIR SUPPORT,JJ009,2,BARREL ROLL - FIREFLY,D,JBC3H0,,ABN FWD AIR CNTL,LAOS,,19611N103493E,DD.DDDN DDD.DDDE,1009HL,MISSION: BR04-338 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: BR/E,UG,26036972,KINETIC,0,0,,,,620.0,-1
3345637,3347018,UNITED STATES OF AMERICA,USAF,1971-02-17,230272,SEADAB,F-4,UBON AB,16.245,106.8725,INTERDICTION POINT,0,1105.0,,,0,F4,F4,,,POPPER,27,1.0,STRIKE,0524,2,,N,8TFW,,,LAOS,,161442N1065221E,DDMMSSN DDDMMSSE,,UNIT: 8TFW - CALLSIGN: POPPER,VC,26718671,KINETIC,-1,-1,,,RNO NONVISUAL,1105.0,0
1755085,1756175,UNITED STATES OF AMERICA,USAF,1966-01-05,2106759,CACTA6669,A-1,PLEIKU,13.27570729,108.2935037,AREA\DEPOT,6,215.0,100LB PWP M-47,,105,A1,A1,,,,30,6.0,DIRECT AIR SUPPORT,J0004,2,IN COUNTRY,D,JAAGD0,BROKEN,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,49PBQ071691,##ABC111222,0209R,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZU,25004651,KINETIC,0,0,,,,225.0,-1
20263,20311,UNITED STATES OF AMERICA,USAF,1971-12-19,1237886,SEADAB,F-4,UBON AB,16.808888,105.936666,,0,705.0,,,0,F4,F4,,,KILLER,22,4.0,ARMED RECCE,8623,3,,D,8TFW,,,LAOS,,164832N1055612E,DDMMSSN DDDMMSSE,,UNIT: 8TFW - CALLSIGN: KILLER,XC,27726285,KINETIC,-1,-1,,,,705.0,0
1517771,1518879,UNITED STATES OF AMERICA,USN,1968-09-10,2917811,CACTA6669,A-4,WESTPAC 11,18.651111,105.743055,TRUCK PARK\STOP,3,528.0,500LB GP MK-82,,500,A4E,A4,,,,0,4.0,ARMED RECCE,I0017,2,ROLLING THUN,D,N09944,CLEAR,PREBRIEFED TGT,NORTH VIETNAM,,183904N1054435E,DDMMSSN DDDMMSSE,0655R,MISSION: RT57C - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),WF,25511372,KINETIC,0,0,,,,528.0,-1
163614,164035,UNITED STATES OF AMERICA,USAF,1972-12-31,127512,SEADAB,A-7,KORAT,11.175,107.050555,,0,910.0,,,0,A7,A7,,,COLTER,57,5.0,CLOSE AIR SUPPORT,6004,3,,D,354TFW,,,SOUTH VIETNAM,,111030N1070302E,DDMMSSN DDDMMSSE,,UNIT: 354TFW - CALLSIGN: COLTER,YT,26615911,KINETIC,-1,-1,,,,910.0,0
4212216,4215714,UNITED STATES OF AMERICA,USAF,1971-12-06,1177010,SEADAB,AC-119,NAKHON PHANOM,17.176388,105.583055,,12,2125.0,,,0,AC119,AC119,,,STINGER9,36,4.0,ARMED RECCE,5230,1,,N,18SOS,,,LAOS,,171035N1053459E,DDMMSSN DDDMMSSE,,UNIT: 18SOS - CALLSIGN: STINGER9,WE,27665409,KINETIC,-1,-1,,,,2125.0,6840
1191966,1193074,UNITED STATES OF AMERICA,USMC,1969-02-04,2997108,CACTA6669,F-4,DANANG,15.77700514,107.8532174,TROOPS,11,1518.0,250LB MK-81,,260,F4B,F4,,,,9,5.0,CLOSE AIR SUPPORT,MX014,1,IN COUNTRY - DANANG,N,M01542,SCATTERED,TPQ-10,SOUTH VIETNAM,,48PZC06004620,##ABC11112222,0609N,MISSION: VS6305PP - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BU,25555512,KINETIC,0,1,,,,1519.0,-1
1379277,1380385,UNITED STATES OF AMERICA,USN,1968-11-14,2677371,CACTA6669,EKA-3,WESTPAC 19,,,,0,0.0,,,0,EKA3B,EKA3,,,,18,43,AIR REFUELING,H0037,1,ROLLING THUN,N,NA2356,CLEAR,,,,,,,MISSION: RT57C - CONTROL_TYPE:  - RTCOR:,,25372558,NONKINETIC,0,0,,,,0.0,-1
3064847,3065807,UNITED STATES OF AMERICA,USAF,1972-01-30,440351,SACCOACT,B-52,U TAPAO,14.5833,107.5667,STORAGE AREA,126,1310.0,750 GP,,799,B52,B52,,,,102,3.0,AIR INTERDICTION,J8007,3,UNIFORM 615,,JBT910,,,SOUTH VIETNAM,,145833N1075667E,DD.DDDDN DDD.DDDDE,,UNIT: JBT910 - CONTROL_TYPE: MSQ,YB,23695705,KINETIC,-1,-1,,,,1310.0,-1
1945383,1946472,UNITED STATES OF AMERICA,USAF,1969-05-10,1852779,CACTA6669,A-37,BIEN HOA,10.142545,106.1317678,BUILDINGS,8,701.0,250LB MK-81,,260,A37A,A37,,,,33,03,AIR INTERDICTION,JA026,2,IN COUNTRY - SVN RAP     55,D,JBP880,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXS24302130,##ABC11112222,9999N,MISSION: VS05-5164 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),XS,24822122,KINETIC,0,0,,,,726.0,-1
