,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
2874257,2875266,VIETNAM (SOUTH),VNAF,1970-01-25,249843,CACTA6570,A-37,BINH THUY,10.49454187,104.9915274,MOUNTAIN PASS,8,830.0,500LB GP MK-82,,500,A37B,A37,,,,18,3,AIR INTERDICTION,VB009,2,IN COUNTRY - PANTHER-91,D,V50040,CLEAR,PREBRIEFED TGT,SOUTH VIETNAM,,48PVS99406000,##ABC11112222,0459N,MISSION: VS4174 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),VS,23867476,KINETIC,0,0,,,,836.0,-1
3308901,3310196,VIETNAM (SOUTH),VNAF,1973-05-04,1572081,SEADAB,CH-47,PHU CAT,,,,1,800.0,CARGO (TONS),,0,CH47,CH47,,,,180,47.0,COMBT CARGO CARRYING,0783,1,,D,241HS,,,SOUTH VIETNAM,,,,,UNIT: 241HS - CALLSIGN:,,28060480,NONKINETIC,-1,-1,,,,800.0,0
97791,98053,VIETNAM (SOUTH),VNAF,1972-07-24,1640655,SEADAB,U-17,NHA TRANG,,,,0,800.0,,,0,U17,U17,,,,20,52.0,TRAINING,0804,2,,D,114LS,,,SOUTH VIETNAM,,,,,UNIT: 114LS - CALLSIGN:,,28129053,NONKINETIC,-1,-1,,,,800.0,0
591407,592459,VIETNAM (SOUTH),VNAF,1971-05-19,3332,SEADAB,O-1,BIEN HOA,,,,0,800.0,,,0,O1,O1,,,,55,36.0,FAC/TAC,0850,2,,D,112LS,,,SOUTH VIETNAM,,,,,UNIT: 112LS - CALLSIGN:,,26491643,NONKINETIC,-1,-1,,,,800.0,0
3387482,3388965,VIETNAM (SOUTH),VNAF,1972-07-22,528143,SEADAB,A-37,DANANG,,,,0,800.0,,,0,A37,A37,,,,10,53,MAINTENANCE,0744,1,,D,528FS,,,SOUTH VIETNAM,,,,,UNIT: 528FS - CALLSIGN:,,27016542,NONKINETIC,-1,-1,,,,800.0,0
4350511,4354340,VIETNAM (SOUTH),VNAF,1970-08-18,842752,SEADAB,F-5,BIEN HOA,10.903611,106.236388,,12,1130.0,,,0,F5,F5,,,FALCON21,39,5.0,CLOSE AIR SUPPORT,D240,3,,D,522FS,,,SOUTH VIETNAM,,105413N1061411E,DDMMSSN DDDMMSSE,,UNIT: 522FS - CALLSIGN: FALCON21,XS,27331151,KINETIC,-1,-1,,,,1130.0,63720
361464,362399,VIETNAM (SOUTH),VNAF,1971-09-17,1193948,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,43,36.0,FAC/TAC,0764,1,,D,122LS,,,SOUTH VIETNAM,,,,,UNIT: 122LS - CALLSIGN:,,27682347,NONKINETIC,-1,-1,,,,800.0,0
3523407,3525240,VIETNAM (SOUTH),VNAF,1972-05-03,379776,SEADAB,F-5,BIEN HOA,,,,0,0.0,,,0,F5,F5,,,FALCON03,0,,,B184,2,,,522FS,,,SOUTH VIETNAM,,,,,UNIT: 522FS - CALLSIGN: FALCON03,,26868175,NONKINETIC,-1,-1,,,,0.0,0
4109450,4112708,VIETNAM (SOUTH),VNAF,1970-11-04,639353,SEADAB,UH-1,DANANG,,,,2,800.0,BATTLEFIELD CASUALTYS,,0,UH1,UH1,,,3,10,65.0,CASUALTY EVACUATION,7322,3,,D,213HS,,,SOUTH VIETNAM,,,,,UNIT: 213HS - CALLSIGN:        3,,27127752,NONKINETIC,-1,-1,,,,800.0,0
4013324,4016340,VIETNAM (SOUTH),VNAF,1973-12-19,1832360,SEADAB,A-37,PHU CAT,,,,0,800.0,,,0,A37,A37,,,,80,3.0,AIR INTERDICTION,0804,1,,D,532FS,,,SOUTH VIETNAM,,,,,UNIT: 532FS - CALLSIGN:,,28320758,KINETIC,-1,-1,,,,800.0,0
4034406,4037484,VIETNAM (SOUTH),VNAF,1971-04-30,248336,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,383,18.0,VISUAL RECCE,0741,26,,D,116LS,,,SOUTH VIETNAM,,,,,UNIT: 116LS - CALLSIGN:,,26736735,NONKINETIC,-1,-1,,,,800.0,0
368823,369777,VIETNAM (SOUTH),VNAF,1974-06-02,1689376,SEADAB,VC-47,TAN SON NHUT,,,,0,800.0,,,0,VC47,VC47,,,,13,52.0,TRAINING,0713,1,,D,314SM,,,SOUTH VIETNAM,,,,,UNIT: 314SM - CALLSIGN:,,28177774,NONKINETIC,-1,-1,,,,800.0,0
3889654,3892384,VIETNAM (SOUTH),VNAF,1971-08-23,710596,SEADAB,A-37,DANANG,,,,0,800.0,,,0,A37,A37,,,,58,52.0,TRAINING,,4,,D,528FS,,,SOUTH VIETNAM,,,,,UNIT: 528FS - CALLSIGN:,,27198995,NONKINETIC,-1,-1,,,,800.0,0
4627384,4631852,VIETNAM (SOUTH),VNAF,1971-05-19,431398,SEADAB,A-37,BINH THUY,10.174722,106.433333,,0,5.0,,,0,A37,A37,,,PANTHR11,21,5.0,CLOSE AIR SUPPORT,E403,2,,D,520FS,,,SOUTH VIETNAM,,101029N1062600E,DDMMSSN DDDMMSSE,,UNIT: 520FS - CALLSIGN: PANTHR11,XS,26919797,KINETIC,-1,-1,,,,5.0,0
4628264,4632733,VIETNAM (SOUTH),VNAF,1972-12-09,432279,SEADAB,A-37,BINH THUY,10.460277,104.899444,,12,225.0,,,0,A37,A37,,,PANTHR41,17,98.0,FRIENDLY A/C DAM GND,E406,2,,D,520FS,,,SOUTH VIETNAM,,102737N1045358E,DDMMSSN DDDMMSSE,,UNIT: 520FS - CALLSIGN: PANTHR41,VS,26920678,NONKINETIC,-1,-1,,,,225.0,63720
1029848,1030956,VIETNAM (SOUTH),VNAF,1969-06-30,3401313,CACTA6669,F-5,BIEN HOA,10.48406276,106.7926584,TROOPS,20,30.0,CBU-14/25,,250,F5C,F5,,,,14,3.0,AIR INTERDICTION,VW005,3,IN COUNTRY - SOUTH VIETNAM,D,V50100,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXS96505940,##ABC11112222,0409C,MISSION: VS06-3811 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),YS,25764440,KINETIC,0,0,,,,45.0,-1
4661323,4665877,VIETNAM (SOUTH),VNAF,1970-10-28,617730,SEADAB,A-37,BINH THUY,10.248611,106.283055,,0,910.0,,,0,A37,A37,,,SATAN 11,10,5.0,CLOSE AIR SUPPORT,E079,2,,D,526FS,,,SOUTH VIETNAM,,101455N1061659E,DDMMSSN DDDMMSSE,,UNIT: 526FS - CALLSIGN: SATAN 11,XS,27106129,KINETIC,-1,-1,,,,910.0,0
2227991,2229053,VIETNAM (SOUTH),VNAF,1966-08-05,1734370,CACTA6669,A-1,BIEN HOA,10.62282033,106.3437541,UNKNOWN\UNIDENTIFIED,16,130.0,250LB M-57,,272,A1,A1,,,,30,01,STRIKE,VB005,2,IN COUNTRY,D,V50010,BROKEN,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,48PXS473745,##ABC111222,3009N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XS,24732142,KINETIC,0,0,,,,140.0,-1
3530631,3532480,VIETNAM (SOUTH),VNAF,1970-01-07,469986,SEADAB,UH-1,DANANG,,,,0,800.0,,,0,UH1,UH1,,,1,5,53.0,MAINTENANCE,7338,1,,D,213HS,,,SOUTH VIETNAM,,,,,UNIT: 213HS - CALLSIGN:        1,,26958385,NONKINETIC,-1,-1,,,,800.0,0
337987,338874,VIETNAM (SOUTH),VNAF,1972-12-10,1035423,SEADAB,F-5,BIEN HOA,,,,0,0.0,,,0,F5,F5,,,FALCON 5,0,,,B185,2,,,522FS,,,SOUTH VIETNAM,,,,,UNIT: 522FS - CALLSIGN: FALCON 5,,27523822,NONKINETIC,-1,-1,,,,0.0,0
149885,150273,VIETNAM (SOUTH),VNAF,1975-02-16,51934,SEADAB,RC-47,TAN SON NHUT,,,,0,800.0,,,0,RC47,RC47,,,,20,20.0,PHOTO RECCE,0707,1,,D,716RS,,,SOUTH VIETNAM,,,,,UNIT: 716RS - CALLSIGN:,,26540245,NONKINETIC,-1,-1,,,,800.0,0
3654411,3656545,VIETNAM (SOUTH),VNAF,1974-06-08,1319731,SEADAB,U-17,TAN SON NHUT,,,,0,800.0,,,0,U17,U17,,,,50,52.0,TRAINING,0713,1,,D,314SM,,,SOUTH VIETNAM,,,,,UNIT: 314SM - CALLSIGN:,,27808130,NONKINETIC,-1,-1,,,,800.0,0
47764,47888,VIETNAM (SOUTH),VNAF,1974-02-04,1374839,SEADAB,F-5,BIEN HOA,,,,0,800.0,,,0,F5,F5,,,,10,53.0,MAINTENANCE,0880,1,,D,540FS,,,SOUTH VIETNAM,,,,,UNIT: 540FS - CALLSIGN:,,27863238,NONKINETIC,-1,-1,,,,800.0,0
4606340,4610755,VIETNAM (SOUTH),VNAF,1972-02-08,319173,SEADAB,A-37,NHA TRANG,,,,0,0.0,,,0,A37,A37,,,SIPA  A1,0,,,C221,2,,,524FS,,,SOUTH VIETNAM,,,,,UNIT: 524FS - CALLSIGN: SIPA  A1,,26807572,NONKINETIC,-1,-1,,,,0.0,0
4099260,4102498,VIETNAM (SOUTH),VNAF,1974-05-01,585261,SEADAB,F-5,BIEN HOA,,,,12,800.0,MK 82 GP BOMB (500) LD,,500,F5,F5,,,,40,5.0,CLOSE AIR SUPPORT,0783,1,,D,522FS,,,SOUTH VIETNAM,,,,,UNIT: 522FS - CALLSIGN:,,27073660,KINETIC,-1,-1,,,,800.0,63720
4045129,4048247,VIETNAM (SOUTH),VNAF,1972-03-24,314035,SEADAB,U-17,BINH THUY,,,,0,800.0,,,0,U17,U17,,,,110,18.0,VISUAL RECCE,0730,4,,D,122LS,,,SOUTH VIETNAM,,,,,UNIT: 122LS - CALLSIGN:,,26802434,NONKINETIC,-1,-1,,,,800.0,0
3535019,3536879,VIETNAM (SOUTH),VNAF,1971-07-19,521984,SEADAB,A-1,BIEN HOA,,,,0,0.0,,,0,A1,A1,,,PHOENIXW,0,,,D336,2,,,514FS,,,SOUTH VIETNAM,,,,,UNIT: 514FS - CALLSIGN: PHOENIXW,,27010383,NONKINETIC,-1,-1,,,,0.0,0
4392856,4396785,VIETNAM (SOUTH),VNAF,1972-05-23,1065897,SEADAB,UH-1,BINH THUY,,,,0,800.0,,,0,UH1,UH1,,,5,20,53.0,MAINTENANCE,0737,5,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:        5,,27554296,NONKINETIC,-1,-1,,,,800.0,0
3693297,3695510,VIETNAM (SOUTH),VNAF,1971-08-27,1454277,SEADAB,A-1,BIEN HOA,10.729722,106.504444,CONFIRM ENEMY LOC,0,727.0,,,0,A1,A1,,,PHOENIXS,15,5.0,CLOSE AIR SUPPORT,D339,2,,D,514FS,,,SOUTH VIETNAM,,104347N1063016E,DDMMSSN DDDMMSSE,,UNIT: 514FS - CALLSIGN: PHOENIXS,XS,27942676,KINETIC,-1,-1,,,RNO ****,727.0,0
4421293,4425282,VIETNAM (SOUTH),VNAF,1973-03-21,1203810,SEADAB,UH-1,BIEN HOA,,,,0,800.0,,,0,UH1,UH1,,,,60,44.0,ARMED HELICOPTER,0825,1,,D,221HS,,,SOUTH VIETNAM,,,,,UNIT: 221HS - CALLSIGN:,,27692209,KINETIC,-1,-1,,,,800.0,0
4388895,4392814,VIETNAM (SOUTH),VNAF,1974-10-10,1043724,SEADAB,F-5,BIEN HOA,,,,0,800.0,,,0,F5,F5,,,,10,52.0,TRAINING,0723,1,,D,542FS,,,SOUTH VIETNAM,,,,,UNIT: 542FS - CALLSIGN:,,27532123,NONKINETIC,-1,-1,,,,800.0,0
3028371,3029331,VIETNAM (SOUTH),VNAF,1970-06-10,277604,CACTA6570,AC-47,TAN SON NHUT,10.23417937,106.5055089,TROOPS,125,1120.0,7.62MM,,6,AC47D,AC47,,,,55,3.0,AIR INTERDICTION,VQ103,1,IN COUNTRY,N,V50260,SCATTERED,UNKNOWN,SOUTH VIETNAM,,48PXS652316,##ABC111222,,MISSION: VS - CONTROL_TYPE: UNKNOWN - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XS,24026968,KINETIC,0,0,,,,1300.0,-1
73686,73877,VIETNAM (SOUTH),VNAF,1973-12-26,1508367,SEADAB,UH-1,BIEN HOA,,,,0,800.0,,,0,UH1,UH1,,,,288,50.0,ADMINISTRATIVE,0785,1,,D,251HS,,,SOUTH VIETNAM,,,,,UNIT: 251HS - CALLSIGN:,,27996766,NONKINETIC,-1,-1,,,,800.0,0
3809458,3811967,VIETNAM (SOUTH),VNAF,1970-07-20,290078,SEADAB,A-1,TAN SON NHUT,10.884722,106.22611100000002,,16,840.0,,,0,A1,A1,,,DRAGON A,20,5.0,CLOSE AIR SUPPORT,D500,2,,D,518FS,,,SOUTH VIETNAM,,105305N1061334E,DDMMSSN DDDMMSSE,,UNIT: 518FS - CALLSIGN: DRAGON A,XS,26778477,KINETIC,-1,-1,,,,840.0,84960
4261401,4265015,VIETNAM (SOUTH),VNAF,1973-12-16,1425107,SEADAB,CH-47,CAN THO,,,,50,800.0,PASSENGERS,,0,CH47,CH47,,,,90,48.0,LOG TROOP CARRYING,0750,1,,D,249HS,,,SOUTH VIETNAM,,,,,UNIT: 249HS - CALLSIGN:,,27913506,NONKINETIC,-1,-1,,,,800.0,0
210799,211358,VIETNAM (SOUTH),VNAF,1974-10-15,375593,SEADAB,O-1,BIEN HOA,,,,0,800.0,,,0,O1,O1,,,,53,36.0,FAC/TAC,0716,1,,D,112LS,,,SOUTH VIETNAM,,,,,UNIT: 112LS - CALLSIGN:,,26863992,NONKINETIC,-1,-1,,,,800.0,0
3257390,3258562,VIETNAM (SOUTH),VNAF,1972-10-21,1196297,SEADAB,AC-119,BIEN HOA,,,,0,2030.0,,,0,AC119,AC119,,,HACLONG8,40,54.0,AIRBORNE ALERT,A075,1,,N,819CS,,,SOUTH VIETNAM,,,,,UNIT: 819CS - CALLSIGN: HACLONG8,,27684696,NONKINETIC,-1,-1,,,,2030.0,0
3334647,3336005,VIETNAM (SOUTH),VNAF,1973-05-11,152672,SEADAB,O-1,DANANG,,,,0,800.0,,,0,O1,O1,,,,43,18.0,VISUAL RECCE,0847,1,,D,110LS,,,SOUTH VIETNAM,,,,,UNIT: 110LS - CALLSIGN:,,26641071,NONKINETIC,-1,-1,,,,800.0,0
